"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"344","P86017","OL16 2UY",4370
"345","P86018","OL15 8HF",8792
"346","P86019","M24 6DL",9182
"347","P86021","OL15 8HF",3391
"348","P86022","OL16 4JQ",9097
"349","P86023","OL10 2BS",8076
"350","P86026","OL12 6RX",7698
"351","P86602","OL10 4RG",3444
"352","P86606","M24 4EN",4969
"353","P86608","OL15 8AQ",4296
"354","P86609","OL11 1DN",2333
"355","P86614","OL11 1DN",4972
"356","P86619","OL11 1DN",6614
"357","P86620","M24 5WF",2489
"358","P86624","OL15 8AR",4056
"359","Y00726","M24 2YJ",5294
"360","Y02718","OL10 4PW",3440
"361","Y02720","OL16 4AT",3406
"362","Y02721","OL11 2JG",3310
"363","Y02795","M24 4EL",4255
"364","P81015","PR2 8JB",11327
"365","P81018","PR1 0AD",8508
"366","P81040","PR4 5HA",10806
"367","P81046","PR1 3NA",6070
"368","P81055","PR3 3JJ",12199
"369","P81067","PR1 5AF",13558
"370","P81071","PR1 5NE",7398
"371","P81103","PR2 9TH",10804
"372","P81107","PR3 3AP",7711
"373","P81119","PR2 2JJ",8804
"374","P81169","PR1 8DN",6459
"375","P81179","PR5 5AB",5191
"376","P81184","PR2 6RD",8460
"377","P81185","PR5 4AY",11031
"378","P81196","PR1 6YA",32114
"379","P81213","PR1 0SR",18995
"380","P81647","PR1 6LL",3885
"381","P81664","PR2 1JR",17570
"382","P81685","PR1 6LL",2874
"383","P81735","PR2 6NH",3470
"384","P81748","PR2 1HY",6420
"385","P81770","PR1 3RG",6556
"386","N81011","WA8 6TR",15006
"387","N81019","WA7 2ST",13530
"388","N81035","WA8 6DZ",10793
"389","N81037","WA8 8QS",8585
"390","N81045","WA8 6TN",14136
"391","N81054","WA7 2UT",9145
"392","N81057","WA7 1AB",12926
"393","N81064","WA8 7GD",7096
"394","N81066","WA7 1AB",14536
"395","N81072","WA7 6ES",8244
"396","N81096","WA7 2UT",8668
"397","N81119","WA8 4NJ",5098
"398","N81619","WA8 7GD",3886
"399","N81651","WA8 7NU",3514
"400","P87002","M27 0NA",11697
"401","P87004","M6 5PP",6699
"402","P87008","M28 3AT",8564
"403","P87015","M6 5FX",3822
"404","P87016","M27 0EW",13185
"405","P87017","M28 3AT",5226
"406","P87019","M27 8HP",12572
"407","P87020","M30 0NU",15630
"408","P87022","M7 3SE",2046
"409","P87024","M30 8QD",10434
"410","P87025","M27 4AF",9668
"411","P87026","M7 4NX",11764
"412","P87027","M6 5WW",19601
"413","P87028","M28 3DR",7173
"414","P87032","M6 8LE",5467
"415","P87035","M5 3PH",10525
"416","P87040","M6 7HL",8990
"417","P87610","M44 5LH",13479
"418","P87613","M38 9RS",3913
