"","Postcode_District","Count_GP_Surgeries","Total_Registered_Patients","Total_Registered_Practitioners","Count"
"1166","OX12",2,32191,44,29247
"1167","OX14",5,60656,96,45921
"1168","OX15",3,23538,39,21698
"1169","OX16",4,69048,84,52329
"1170","OX17",1,4478,11,18647
"1171","OX18",3,27409,45,27607
"1172","OX2",5,64300,84,41413
"1173","OX20",1,9282,15,5384
"1174","OX26",3,53237,75,38088
"1175","OX28",3,39064,73,28309
"1176","OX29",1,15168,38,26942
"1177","OX3",2,48094,72,47650
"1178","OX33",1,11153,23,7894
"1179","OX4",8,87411,161,66905
"1180","OX49",1,7136,15,4204
"1181","OX5",3,26685,38,24117
"1182","OX7",3,27412,47,24639
"1183","OX9",1,12869,22,16011
"1184","PE1",4,77742,66,56750
"1185","PE10",2,25470,48,25576
"1186","PE11",4,50694,39,47174
"1187","PE12",4,37136,43,41880
"1188","PE13",4,50558,67,38051
"1189","PE14",2,16924,16,22503
"1190","PE15",4,36477,51,31568
"1191","PE16",1,12179,21,11163
"1192","PE19",5,51056,85,46797
"1193","PE2",3,25337,35,53616
"1194","PE20",3,19902,21,15543
"1195","PE21",4,59267,61,47026
"1196","PE22",2,14248,21,17143
"1197","PE23",1,7464,12,8929
"1198","PE25",2,37776,37,23145
"1199","PE26",1,7055,14,12021
"1200","PE27",3,39842,53,20656
"1201","PE28",4,34384,60,52394
"1202","PE29",3,37802,65,32483
"1203","PE3",3,17259,20,33378
"1204","PE30",4,71846,120,46719
"1205","PE31",2,12011,30,19528
"1206","PE32",3,15261,24,16251
"1207","PE33",2,10008,21,15758
"1208","PE34",1,6795,8,14906
"1209","PE37",3,21011,38,11834
"1210","PE38",3,20941,29,16547
"1211","PE4",1,13809,17,30344
"1212","PE5",1,4247,6,1540
"1213","PE6",3,116589,99,39581
"1214","PE7",3,48351,44,51043
"1215","PE8",2,19698,33,18725
"1216","PE9",1,29599,36,33295
"1217","PL1",4,25759,49,26332
"1218","PL11",1,11848,11,10307
"1219","PL12",3,23766,41,21801
"1220","PL13",1,9830,22,10064
"1221","PL14",2,26222,33,24840
"1222","PL15",1,19041,27,21403
"1223","PL17",1,16727,32,10307
"1224","PL19",2,27781,55,17014
"1225","PL2",3,41948,57,32327
"1226","PL20",1,7594,12,12388
"1227","PL21",1,4813,14,19079
"1228","PL22",1,5100,7,3865
"1229","PL23",1,8119,13,3150
"1230","PL24",1,6582,8,10534
"1231","PL25",1,31835,25,27666
"1232","PL26",3,23806,42,28257
"1233","PL27",1,7828,15,12511
"1234","PL29",1,8848,12,926
"1235","PL3",1,7970,8,31096
"1236","PL31",2,23399,33,16771
"1237","PL32",2,6460,8,4588
"1238","PL35",1,4811,8,985
"1239","PL4",4,45205,96,35312
"1240","PL5",5,84204,107,44006
"1241","PL6",3,26820,38,42828
"1242","PL7",1,42818,52,31340
"1243","PL8",1,6477,12,6130
"1244","PL9",3,25526,44,31091
"1245","PO1",3,40627,51,31461
"1246","PO10",2,24687,42,20280
"1247","PO11",2,18006,29,17390
"1248","PO12",3,54223,54,46366
"1249","PO13",3,29887,30,35702
"1250","PO14",1,12706,24,33652
"1251","PO15",3,47892,59,23064
"1252","PO16",3,35185,58,32537
"1253","PO17",1,13437,19,6965
