"Postcode_District","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries"
"RM6",37986,35241,26,5
"RM7",32686,18018,19,4
"RM8",49883,71638,66,7
"RM9",39849,34671,33,6
"S1",10768,5148,12,1
"S10",45915,25723,51,4
"S11",34918,65316,89,7
"S12",34202,29179,60,5
"S13",31052,31937,44,3
"S14",9724,8721,17,1
"S17",16100,12578,23,1
"S18",24764,20172,35,3
"S2",46993,56844,110,8
"S20",30196,27860,68,4
"S21",20603,26081,41,3
"S25",21337,20624,25,1
"S26",26471,28034,46,2
"S3",18473,73126,97,5
"S32",5620,3441,13,1
"S33",4608,5783,14,1
"S35",40628,42358,91,5
"S36",29000,36274,71,4
"S4",14405,12851,33,2
"S40",34693,78064,128,5
"S41",36906,19550,32,2
"S42",29814,14763,35,3
"S43",41157,34638,66,4
"S44",22409,18464,36,3
"S45",14478,18364,30,3
"S5",63442,48744,85,8
"S6",58122,72559,134,9
"S60",42125,44223,47,4
